name,input,function,level
Chaos,,function() {},0
Gaea,Chaos,function() {},1
Uranus,,function() {},1
suchao321,,function() {},1
Oceanus,Gaea,function() {},2
Oceanus,Uranus,function() {},2
Oceanus,suchao,function() {},2
Thethys,Gaea,function() {},2
Thethys,Uranus,function() {},2
Pontus,,function() {},2
Rhea,Gaea,function() {},2
Rhea,Uranus,function() {},2
Cronus,Gaea,function() {},2
Cronus,Uranus,function() {},2
Coeus,Gaea,function() {},2
Coeus,Uranus,function() {},2
Phoebe,Gaea,function() {},2
Phoebe,Uranus,function() {},2
Crius,Gaea,function() {},2
Crius,Uranus,function() {},2
Hyperion,Gaea,function() {},2
Hyperion,Uranus,function() {},2
Iapetus,Gaea,function() {},2
Iapetus,Uranus,function() {},2
Thea,Gaea,function() {},2
Thea,Uranus,function() {},2
Themis,Gaea,function() {},2
Themis,Uranus,function() {},2
Mnemosyne,Gaea,function() {},2
Mnemosyne,Uranus,function() {},2
Doris,Oceanus,function() {},3
Doris,Thethys,function() {},3
Neures,Pontus,function() {},3
Neures,Gaea,function() {},3
Dionne,,function() {},3
Demeter,Rhea,function() {},3
Demeter,Cronus,function() {},3
Hades,Rhea,function() {},3
Hades,Cronus,function() {},3
Hera,Rhea,function() {},3
Hera,Cronus,function() {},3
Alcmene,,function() {},3
Zeus,Rhea,function() {},3
Zeus,Cronus,function() {},3
Eris,,function() {},3
Leto,Coeus,function() {},3
Leto,Phoebe,function() {},3
Amphitrite,,function() {},3
Medusa,,function() {},3
Poseidon,Rhea,function() {},3
Poseidon,Cronus,function() {},3
Hestia,Rhea,function() {},3
Hestia,Cronus,function() {},3
Thetis,Doris,function() {},4
Thetis,Neures,function() {},4
Peleus,,function() {},4
Anchises,,function() {},4
Adonis,,function() {},4
Aphrodite,Zeus,function() {},4
Aphrodite,Dionne,function() {},4
Persephone,Zeus,function() {},4
Persephone,Demeter,function() {},4
Ares,Zeus,function() {},4
Ares,Hera,function() {},4
Hephaestus,Zeus,function() {},4
Hephaestus,Hera,function() {},4
Hebe,Zeus,function() {},4
Hebe,Hera,function() {},4
Hercules,Zeus,function() {},4
Hercules,Alcmene,function() {},4
Megara,,function() {},4
Deianira,,function() {},4
Eileithya,Zeus,function() {},4
Eileithya,Hera,function() {},4
Ate,Zeus,function() {},4
Ate,Eris,function() {},4
Leda,,function() {},4
Athena,Zeus,function() {},4
Apollo,Zeus,function() {},4
Apollo,Leto,function() {},4
Artemis,Zeus,function() {},4
Artemis,Leto,function() {},4
Triton,Poseidon,function() {},4
Triton,Amphitrite,function() {},4
Pegasus,Poseidon,function() {},4
Pegasus,Medusa,function() {},4
Orion,Poseidon,function() {},4
Polyphemus,Poseidon,function() {},4
Deidamia,,function() {},5
Achilles,Peleus,function() {},5
Achilles,Thetis,function() {},5
Creusa,,function() {},5
Aeneas,Anchises,function() {},5
Aeneas,Aphrodite,function() {},5
Lavinia,,function() {},5
Eros,Hephaestus,function() {},5
Eros,Aphrodite,function() {},5
Helen,Leda,function() {},5
Helen,Zeus,function() {},5
Menelaus,,function() {},5
Polydueces,Leda,function() {},5
Polydueces,Zeus,function() {},5
Andromache,,function() {},6
Neoptolemus,Deidamia,function() {},6
Neoptolemus,Achilles,function() {},6
Pompilius,Creusa,function() {},6
Pompilius,Aeneas,function() {},6
Iulus,Lavinia,function() {},6
Iulus,Aeneas,function() {},6
Hermione,Helen,function() {},6
Hermione,Menelaus,function() {},6
